No,name,Represent,Judge4
1,John,Dolphins,6.5
2,Emma,Tigers,6
3,Liam,Falcons,9.5
4,Olivia,Eagles,6.5
5,Noah,Bears,7.5
6,Emma,Sharks,8.5
7,Mason,Wolves,8
8,Sophia,Panthers,9
9,Isabella,Hawks,7
10,William,Cobras,8
11,Olivia,Wildcats,9
12,Logan,Dragons,8
13,Charlotte,Vikings,7.5
14,Ethan,Titans,8
15,Amelia,Thunder,7
16,Jacob,Raptors,8.5
17,Sophia,Sharks,9
18,Mia,Lions,8.5
19,Daniel,Panthers,8
20,Mason,Tigers,7.5
21,Ava,Bears,8.5
22,Harper,Lions,8
23,William,Hawks,7.5
24,Emily,Wolves,8
25,James,Cobras,9
26,Ella,Wildcats,8.5
27,Michael,Dragons,8
28,Emily,Vikings,7.5
29,Emma,Titans,9
30,Avery,Thunder,7.5
31,Sophia,Raptors,7
32,Lucas,Sharks,8.5
33,Olivia,Panthers,8
34,Avery,Tigers,9
35,Sofia,Bears,7.5
36,Oliver,Lions,8
37,Charlotte,Hawks,8
38,Elijah,Wolves,8.5
39,Alexander,Cobras,7
40,Sophia,Wildcats,7.5
41,Charlotte,Dragons,7
42,Harper,Vikings,7.5
43,James,Titans,8.5
44,Mia,Thunder,8
45,Michael,Raptors,7.5
46,Evelyn,Sharks,9
47,Isabella,Panthers,8
48,William,Tigers,7.5
49,Sophia,Bears,7.5
50,Benjamin,Lions,8
