No,name,Represent,Judge3
1,John,Dolphins,9
2,Emma,Tigers,8.5
3,Liam,Falcons,7.5
4,Olivia,Eagles,7
5,Noah,Bears,8
6,Emma,Sharks,7
7,Mason,Wolves,8
8,Sophia,Panthers,7
9,Isabella,Hawks,8
10,William,Cobras,8.5
11,Olivia,Wildcats,7.5
12,Logan,Dragons,7
13,Charlotte,Vikings,8
14,Ethan,Titans,8.5
15,Amelia,Thunder,8
16,Jacob,Raptors,9
17,Sophia,Sharks,7.5
18,Mia,Lions,8
19,Daniel,Panthers,8
20,Mason,Tigers,8
21,Ava,Bears,9
22,Harper,Lions,7
23,William,Hawks,8
24,Emily,Wolves,8
25,James,Cobras,7
26,Ella,Wildcats,9
27,Michael,Dragons,8
28,Emily,Vikings,8
29,Emma,Titans,7.5
30,Avery,Thunder,8.5
31,Sophia,Raptors,8
32,Lucas,Sharks,7.5
33,Olivia,Panthers,9
34,Avery,Tigers,7
35,Sofia,Bears,8
36,Oliver,Lions,7
37,Charlotte,Hawks,8.5
38,Elijah,Wolves,7
39,Alexander,Cobras,8.5
40,Sophia,Wildcats,9
41,Charlotte,Dragons,8
42,Harper,Vikings,9
43,James,Titans,7.5
44,Mia,Thunder,8.5
45,Michael,Raptors,8
46,Evelyn,Sharks,7.5
47,Isabella,Panthers,7
48,William,Tigers,8.5
49,Sophia,Bears,8
50,Benjamin,Lions,7.5
